adm2_name,group,period,H38_bar,H46_bar,S_share,RWI_bar,Haz,Mag,PovScore,HVI,Rank,heat_exposed,screening_class,priority_hazard_gated,rank_hazard_gated,priority_equal_weight_gated,rank_equal_weight_gated
Shinyalu,u5,2025,0.0008204232736581,0.0,0.0,0.0152075471698113,0.0001900783482471,14.67915326367208,63.085540968549765,13.866681667475625,197,True,Severe-heat screening priority,13.866681667475625,128,25.921628103523364,124
Kisumu West,u5,2025,0.4281980672749768,0.0,0.0,0.2338571428571428,0.0992063291760713,18.82734515225086,53.61488172254559,13.744999285103937,202,True,Severe-heat screening priority,13.744999285103937,129,24.180477734657504,138
Ugenya,u5,2025,0.018273631413258,0.0,0.0,-0.0081785714285714,0.0042336947122689,13.628723207665615,64.09849486693538,13.70571972443174,203,True,Severe-heat screening priority,13.70571972443174,130,25.910483923104422,125
Seme,u5,2025,1.5491657951154778,0.0,0.0,0.0108979591836734,0.3589157998694162,13.16113741456576,63.27220785525991,13.636576092586893,206,True,Severe-heat screening priority,13.636576092586893,131,25.597420356565028,129
Butere,u5,2025,1.0,0.0,0.0,0.0762121212121212,0.2316832717331342,14.482484740491676,60.44316913435467,13.538646591753926,207,True,Severe-heat screening priority,13.538646591753926,132,25.05244571552649,135
Rangwe,u5,2025,0.1917184408196617,0.0,0.0,-0.0224318181818181,0.0444179556206744,12.197628749114784,64.71586460285864,13.391098190754605,209,True,Severe-heat screening priority,13.391098190754605,133,25.65263710253137,128
Kabondo Kasipul,u5,2025,0.6176228678817479,0.0,0.0,-0.0143333333333333,0.1430928867280446,12.08872381163675,64.36508421303984,13.360080863147424,212,True,Severe-heat screening priority,13.360080863147424,134,25.532300303801545,131
Nambale,u5,2025,0.167572811291909,0.0,0.0,-0.0267368421052631,0.0388238171736285,11.831446697492066,64.90233380028239,13.306137178735474,213,True,Severe-heat screening priority,13.306137178735474,135,25.590868104982693,130
Suna East,u5,2025,0.9381872926343832,0.0,0.0,0.149516129032258,0.2173623014559852,15.102939238028922,57.26805565084429,13.240639384836111,214,True,Severe-heat screening priority,13.240639384836111,136,24.196119063443064,137
Mumias East,u5,2025,1.0342505512246758,0.0,0.0,0.0418928571428571,0.2396185514995304,12.695168527510669,61.92968482880133,13.229793485898142,215,True,Severe-heat screening priority,13.229793485898142,137,24.954823969270507,136
Rarieda,u5,2025,0.6836642528152059,0.0,0.0,0.1894444444444444,0.1583935708592155,15.62814278888296,55.53858769391953,13.106347454725388,216,True,Severe-heat screening priority,13.106347454725388,138,23.77504135122057,139
Kitutu Masaba,u5,2025,0.0534426112374379,0.0,0.0,0.2248571428571427,0.0123817590214515,16.50516857229192,54.00471063096911,13.05906713379474,217,True,Severe-heat screening priority,13.05906713379474,139,23.507420320760826,142
Mumias West,u5,2025,1.0003880793390567,0.0,0.0,-0.06536,0.2317731832240989,9.76809561833148,66.57526974272403,13.044194397681302,219,True,Severe-heat screening priority,13.044194397681302,140,25.525046181426536,132
Lurambi,u5,2025,0.1030999618060316,0.0,0.0,0.3119259259259259,0.0238865364667825,17.786693464477583,50.23338522413928,12.884153418020896,223,True,Severe-heat screening priority,12.884153418020896,141,22.68132174169455,148
Wundanyi,u5,2025,5.067410031697439,0.0,0.0,-0.2713833333333333,1.174034135356968,2.8060953723515354,75.4990309808473,12.812402033278886,224,True,Severe-heat screening priority,12.812402033278886,142,26.493053496185265,120
Bonchari,u5,2025,0.1249995352275961,0.0,0.0,0.1289523809523809,0.0289603012866506,12.716625636121716,58.15876048051927,12.554729928622065,227,True,Severe-heat screening priority,12.554729928622065,143,23.634782139309213,140
Awendo,u5,2025,1.0,0.0,0.0,0.1694523809523809,0.2316832717331342,12.595386637120102,56.4045303926134,12.366721349481264,231,True,Severe-heat screening priority,12.366721349481264,144,23.07720010048888,144
West Mugirango,u5,2025,0.0209592612402545,0.0,0.0,0.19403125,0.0048559102172516,12.903979162453524,55.33991331582251,12.17485149672892,236,True,Severe-heat screening priority,12.17485149672892,145,22.74958279616443,146
Belgut,u5,2025,1.6050025195395503,0.0,0.0,0.1697173913043477,0.3718522348668466,11.449186826520444,56.393051648588056,12.098232524421109,238,True,Severe-heat screening priority,12.098232524421109,146,22.73803023665845,147
Kitutu Chache North,u5,2025,0.9696478077331696,0.0,0.0,0.0566190476190476,0.2246511765244818,9.046344433773632,61.29182985562685,12.03123595556458,240,True,Severe-heat screening priority,12.03123595556458,147,23.520941821974983,141
Khwisero,u5,2025,0.7545172479642968,0.0,0.0,0.0940416666666666,0.1748090245874487,9.921324519942248,59.670894440773225,12.023176485621756,241,True,Severe-heat screening priority,12.023176485621756,148,23.25567599510097,143
Ugunja,u5,2025,0.2771480225875873,0.0,0.0,0.1151290322580645,0.0642105606274608,9.719790636526154,58.75750947299295,11.764879420251892,247,True,Severe-heat screening priority,11.764879420251892,149,22.84717022338219,145
Webuye East,u5,2025,5.689680589857016,0.0,0.0,0.3013333333333334,1.318203814174582,10.855892614907551,50.69219620277767,11.585609312684936,250,True,Severe-heat screening priority,11.585609312684936,150,20.9554308772866,151
Kitutu Chache South,u5,2025,0.5722325015407955,0.0,0.0,0.2482941176470588,0.1325766981490072,11.46895663301852,52.989553931068826,11.462037263547831,252,True,Severe-heat screening priority,11.462037263547831,151,21.53036242074545,150
Rongo,u5,2025,0.930020957414328,0.0,0.0,0.5361142857142857,0.2154702981941333,14.376340341579455,40.52281815996631,10.509833490475556,264,True,Severe-heat screening priority,10.509833490475556,152,18.371542933246637,154
Luanda,u5,2025,0.6979247289158929,0.0,0.0,0.3578666666666665,0.1616974846186948,9.549722982134156,48.24349313356917,10.190374481215905,270,True,Severe-heat screening priority,10.190374481215905,153,19.31830453344067,152
Emuhaya,u5,2025,0.6168243554069517,0.0,0.0,0.3610714285714285,0.1429078847453641,7.244078522678711,48.10468104078132,9.46752504953076,274,True,Severe-heat screening priority,9.46752504953076,154,18.497222482735133,153
